win,time,score,algorithm
0,1.5728285,0,0
0,2.6357225,1,0
0,0.8758745,0,0
0,1.6912814,1,0
0,3.7950188,0,0
0,3.0707977,0,0
0,0.2551565,0,0
0,0.9137473,1,0
1,2.8352296,2,0
0,0.819479,1,0
0,1.741903,1,0
0,2.5437201,0,0
0,4.1007482,0,0
0,0.7603989,1,0
0,2.1797667,0,0
0,2.0393403,0,0
0,0.8863784,1,0
0,0.5366533,0,0
0,2.3233367,0,0
0,3.3936481,1,0
0,1.6064063,1,0
1,2.9692847,2,0
0,1.2360864,0,0
0,0.2190094,0,0
0,0.7781541,0,0
0,0.3766113,1,0
1,5.0172993,2,0
0,1.2504836,1,0
0,1.8581459,0,0
0,0.4931345,0,0
0,2.4283565,1,0
0,2.3952348,1,0
0,0.3286622,1,0
0,2.2928392,0,0
0,0.6470457,0,0
0,2.0364772,1,0
0,0.9371625,0,0
0,1.9349527,0,0
0,0.5632208,0,0
0,0.9380858,1,0
0,3.0628616,1,0
0,3.5357614,1,0
0,1.324808,1,0
0,0.0437555,1,0
0,2.6499317,0,0
0,0.2872317,0,0
0,0.9138015,0,0
0,2.4371808,1,0
0,1.850806,1,0
0,0.3676225,1,0
0,1.1556878,1,1
0,2.5747518,0,1
0,0.4636377,1,1
0,2.2245978,1,1
0,3.181285,0,1
0,0.2826948,1,1
0,1.6246727,1,1
0,1.1650406,0,1
0,1.8443489,1,1
0,1.3052786,1,1
0,2.6947649,0,1
0,1.6715243,1,1
0,2.4541232,1,1
0,0.4807389,0,1
0,1.24493,1,1
0,1.8977371,1,1
0,2.9772744,0,1
0,3.6893786,1,1
0,1.4096139,0,1
0,2.9093544,0,1
0,1.7663499,1,1
0,0.7160108,1,1
0,1.7340862,0,1
0,3.425829,1,1
0,4.39906,0,1
0,3.5537491,1,1
0,2.9043323,1,1
0,0.6126047,0,1
0,1.8499206,1,1
0,1.5084231,0,1
0,4.3006442,1,1
0,1.4329024,0,1
0,0.9892549,1,1
0,0.0872368,0,1
1,9.9173044,2,1
0,3.4246371,1,1
0,3.7544482,1,1
0,1.6548852,1,1
0,1.9796463,1,1
0,0.6589164,0,1
0,1.4987769,0,1
0,2.4237205,0,1
0,1.855161,0,1
0,0.2108063,0,1
0,1.1957459,0,1
0,1.027606,0,1
0,3.2659614,0,1
1,3.8019558,2,1
0,2.0786821,1,1
0,0.7799425,1,1
0,4.5794268,0,2
0,4.753248,1,2
0,1.1463596,0,2
0,5.4308192,0,2
1,6.9522047,2,2
0,3.2146,0,2
0,1.987727,0,2
0,4.2701398,0,2
0,9.7107366,0,2
0,4.1636705,1,2
0,5.0001957,0,2
0,5.105261,0,2
0,1.3854317,0,2
0,6.0618106,0,2
0,0.3100556,1,2
0,10.1469142,0,2
0,2.8296607,0,2
0,4.9545124,1,2
0,4.4290725,0,2
0,3.4673581,0,2
0,1.3812565,1,2
0,2.8653036,0,2
0,3.6073213,0,2
0,3.807165,0,2
0,0.1247495,0,2
0,1.4265545,0,2
0,2.9843583,0,2
0,4.1939616,1,2
0,0.765833,1,2
0,8.5382081,0,2
0,6.8829198,0,2
0,2.4244102,1,2
0,2.5300328,0,2
0,7.2079559,0,2
0,1.5517759,1,2
0,0.8884257,0,2
0,4.4350563,1,2
0,4.5467696,0,2
0,3.4592305,0,2
0,8.1099187,0,2
0,0.8370832,1,2
0,4.4948167,0,2
0,1.5088,1,2
0,1.7145104,1,2
0,1.8782738,0,2
0,5.7810159,1,2
0,4.3588258,0,2
0,14.0979601,0,2
0,2.2158565,0,2
0,0.9956877,0,2
1,5.1052688,2,3
0,11.9638319,1,3
0,4.0596372,1,3
0,4.1155822,1,3
0,0.7223487,1,3
0,5.8822177,1,3
0,2.1812597,1,3
1,8.2776754,2,3
0,4.6802921,0,3
0,2.7081752,0,3
0,3.135867,0,3
0,3.6711756,1,3
0,2.4923478,0,3
0,2.2662536,1,3
0,6.3051554,1,3
0,4.2019956,1,3
1,6.0519894,2,3
0,3.826333,0,3
0,6.2927166,1,3
0,0.2928927,0,3
0,0.2906041,0,3
0,2.6333031,1,3
0,0.7778499,1,3
1,7.9610503,2,3
0,2.2576564,0,3
1,7.6683161,2,3
0,3.0303284,0,3
0,7.2270435,0,3
0,3.2759625,1,3
0,0.6153907,0,3
0,0.4229073,0,3
0,2.7291951,1,3
0,1.0561134,1,3
1,3.2140724,2,3
0,0.3513036,1,3
0,0.6137774,1,3
0,0.816559,0,3
0,8.7956022,0,3
0,3.8692999,1,3
1,4.9747612,2,3
0,2.064154,0,3
0,2.5981599,1,3
1,9.060291,2,3
0,2.1572108,0,3
0,1.9837552,0,3
0,1.8921892,1,3
0,5.7081618,0,3
0,5.0429518,1,3
0,3.1468091,0,3
0,4.7665874,1,3
0,0.1750039,0,4
0,4.04629,1,4
0,1.6589409,1,4
0,1.1774557,0,4
0,2.01367,1,4
0,1.5171092,1,4
0,4.0148225,1,4
0,2.0827427,1,4
0,0.8976421,1,4
1,3.193759,2,4
0,2.36443,1,4
0,1.0215035,1,4
0,2.3668476,1,4
0,2.9133859,1,4
0,0.5708114,1,4
1,3.8008361,2,4
0,1.733341,0,4
1,5.3822702,2,4
0,4.2301287,1,4
0,3.0331584,0,4
0,0.9628832,1,4
0,2.6233275,1,4
0,3.7596458,1,4
1,5.9016839,2,4
0,5.4549117,1,4
0,0.395208,1,4
0,4.1580067,1,4
0,1.1999458,1,4
0,1.1683599,1,4
0,0.9508263,0,4
0,2.0982931,0,4
0,2.2933597,1,4
0,2.5637124,1,4
0,1.8458823,1,4
0,0.9584979,0,4
0,5.9802416,1,4
0,3.3639728,0,4
1,4.8852465,2,4
0,0.4584343,0,4
0,1.0442472,0,4
0,3.2854641,1,4
0,2.9267237,1,4
0,4.3375314,1,4
0,1.8109489,1,4
0,2.6159012,1,4
0,2.5947128,0,4
0,0.4003215,0,4
0,4.2132439,1,4
0,0.3447197,0,4
0,2.5683934,1,4
0,1.480596,1,5
0,0.8294803,1,5
0,2.2351821,0,5
0,0.7508605,1,5
1,3.4154642,2,5
0,2.6186144,1,5
0,2.0591886,0,5
0,0.2725867,0,5
0,1.3213737,1,5
0,2.2502776,0,5
1,4.0747225,2,5
0,1.6368943,0,5
0,1.2639162,1,5
0,0.0779899,0,5
0,0.8495981,0,5
0,1.9025039,1,5
0,1.9124501,0,5
0,0.1621957,0,5
1,2.9880399,2,5
0,1.3971142,1,5
0,1.663969,1,5
0,1.8800787,1,5
0,0.8321244,0,5
0,3.1832328,1,5
0,2.3515293,1,5
0,1.0922689,1,5
0,4.9970849,1,5
0,0.3721319,0,5
0,0.122515,1,5
0,2.6488721,1,5
0,1.3962072,0,5
0,3.4657314,1,5
0,1.7283081,1,5
0,2.5333631,1,5
0,2.1209975,1,5
0,0.7980114,0,5
0,4.378929,1,5
0,0.671466,0,5
0,1.0358468,1,5
0,2.1816267,1,5
0,2.5647839,1,5
1,5.323157,2,5
0,1.1111986,1,5
0,3.220605,1,5
1,4.5121694,2,5
0,2.9629039,1,5
0,1.7908883,0,5
0,1.4338927,1,5
0,1.5632696,0,5
1,7.242251,2,5
